"Ringo","carry","1322"
"Taka","jungler","1301"
"Vox","carry","1242"
"Lance","captain","1027"
"Ardan","captain","966"
"Catherine","captain","955"
"SAW","carry","937"
"Glaive","jungler","909"
"Koshka","jungler","822"
"Krul","jungler","804"
"Lyra","captain","734"
"Alpha","jungler","730"
"Gwen","carry","712"
"Idris","jungler","579"
"Lyra","carry","550"
"Rona","jungler","543"
"Blackfeather","jungler","526"
"Joule","jungler","524"
"Kestrel","jungler","514"
"Phinn","captain","482"
"Petal","jungler","474"
"Adagio","captain","467"
"Skaarf","carry","465"
"Ozo","jungler","454"
"Idris","carry","388"
"Fortress","jungler","380"
"Kestrel","carry","378"
"Flicker","captain","360"
"Fortress","captain","356"
"Reim","jungler","329"
"Baron","carry","318"
"Adagio","carry","311"
"Skye","carry","277"
"Celeste","carry","257"
"Taka","captain","254"
"Skye","jungler","252"
"Catherine","jungler","250"
"Samuel","carry","247"
"Blackfeather","carry","240"
"Ringo","captain","239"
"Glaive","captain","221"
"Ringo","jungler","212"
"Kestrel","captain","195"
"Samuel","jungler","186"
"Joule","carry","177"
"Grumpjaw","jungler","175"
"Catherine","carry","152"
"Petal","carry","134"
"Lance","jungler","122"
"Idris","captain","121"
"Glaive","carry","120"
"Koshka","captain","111"
"Krul","captain","104"
"Ardan","jungler","101"
"Flicker","jungler","101"
"Blackfeather","captain","101"
"Joule","captain","101"
"Celeste","jungler","99"
"SAW","captain","99"
"Skaarf","captain","92"
"Petal","captain","92"
"Vox","captain","91"
"Skye","captain","87"
"Ozo","captain","83"
"Gwen","captain","82"
"Vox","jungler","81"
"Alpha","captain","81"
"Rona","carry","72"
"Grumpjaw","captain","71"
"Baptiste","jungler","70"
"Adagio","jungler","65"
"Lance","carry","62"
"Samuel","captain","60"
"Phinn","carry","60"
"Rona","captain","60"
"Baptiste","carry","58"
"Celeste","captain","54"
"Ardan","carry","53"
"Gwen","jungler","52"
"Baptiste","captain","50"
"Baron","captain","39"
"Skaarf","jungler","36"
"Flicker","carry","32"
"Lyra","jungler","32"
"Phinn","jungler","29"
"Reim","captain","29"
"SAW","jungler","27"
"Alpha","carry","21"
"Fortress","carry","20"
"Baron","jungler","19"
"Koshka","carry","17"
"Reim","carry","15"
"Taka","carry","15"
"Grumpjaw","carry","10"
"Ozo","carry","9"
"Krul","carry","9"
