"Ringo","carry","Sorrowblade","Tornado Trigger","231"
"Glaive","jungler","Sorrowblade","Tornado Trigger","199"
"Idris","jungler","Sorrowblade","Tornado Trigger","189"
"SAW","carry","Sorrowblade","Serpent Mask","179"
"Ringo","carry","Sorrowblade","Breaking Point","162"
"Kestrel","jungler","Shatterglass","Shatterglass","140"
"SAW","carry","Serpent Mask","Sorrowblade","132"
"Ardan","captain","Fountain of Renewal","Crucible","127"
"Taka","jungler","Stormcrown","Travel Boots","121"
"Taka","jungler","Stormcrown","Aftershock","116"
"Catherine","captain","Fountain of Renewal","Stormcrown","109"
"Vox","carry","Breaking Point","Tyrant's Monocle","103"
"Rona","jungler","Serpent Mask","Breaking Point","103"
"Joule","jungler","Sorrowblade","Tornado Trigger","99"
"Idris","carry","Sorrowblade","Tornado Trigger","96"
"Lance","captain","War Treads","Fountain of Renewal","93"
"Gwen","carry","Sorrowblade","Breaking Point","93"
"Ardan","captain","Fountain of Renewal","War Treads","91"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","79"
"Kestrel","jungler","Shatterglass","Clockwork","78"
"Alpha","jungler","Stormcrown","Aftershock","78"
"Taka","jungler","Aftershock","Stormcrown","77"
"Lance","captain","Fountain of Renewal","War Treads","77"
"Koshka","jungler","Aftershock","Broken Myth","74"
"Lance","captain","Fountain of Renewal","Atlas Pauldron","73"
"Lance","captain","Fountain of Renewal","Crucible","72"
"Taka","jungler","Stormcrown","Halcyon Chargers","71"
"Vox","carry","Sorrowblade","Tornado Trigger","69"
"Lyra","captain","Fountain of Renewal","Crucible","67"
"Adagio","captain","War Treads","Fountain of Renewal","66"
"Kestrel","carry","Sorrowblade","Breaking Point","64"
"Ozo","jungler","Aftershock","Travel Boots","63"
"Alpha","jungler","Aftershock","Broken Myth","63"
"Vox","carry","Sorrowblade","Breaking Point","61"
"Catherine","captain","Fountain of Renewal","Crucible","61"
"Ardan","captain","Fountain of Renewal","Atlas Pauldron","61"
"Idris","jungler","Sorrowblade","Travel Boots","56"
"Vox","carry","Breaking Point","Aegis","55"
"Krul","jungler","Tornado Trigger","Sorrowblade","55"
"Baron","carry","Sorrowblade","Breaking Point","55"
"Ardan","captain","War Treads","Fountain of Renewal","52"
"Taka","jungler","Shatterglass","Clockwork","51"
"Rona","jungler","Travel Boots","Serpent Mask","51"
"SAW","carry","Serpent Mask","Travel Boots","50"
"Vox","carry","Breaking Point","Coat of Plates","48"
"Vox","carry","Breaking Point","Metal Jacket","48"
"Ringo","carry","Sorrowblade","Tyrant's Monocle","47"
"Phinn","captain","War Treads","Fountain of Renewal","47"
"Lyra","carry","Eve of Harvest","Alternating Current","47"
"Ardan","captain","Fountain of Renewal","Stormcrown","46"
"Blackfeather","jungler","Serpent Mask","Breaking Point","46"
"Lyra","carry","Fountain of Renewal","Alternating Current","46"
"Glaive","jungler","Tornado Trigger","Sorrowblade","45"
"Skaarf","carry","Shatterglass","Eve of Harvest","45"
"Blackfeather","jungler","Serpent Mask","Travel Boots","45"
"Ringo","carry","Travel Boots","Sorrowblade","44"
"Rona","jungler","Breaking Point","Serpent Mask","44"
"Ringo","carry","Sorrowblade","Travel Boots","43"
"Petal","jungler","Frostburn","Broken Myth","43"
"Ringo","jungler","Sorrowblade","Tornado Trigger","42"
"Lance","captain","Travel Boots","Fountain of Renewal","42"
"Lyra","captain","Fountain of Renewal","War Treads","42"
"Adagio","captain","Fountain of Renewal","War Treads","40"
"SAW","carry","Travel Boots","Sorrowblade","40"
