"Glaive","jungler","Sorrowblade","Tornado Trigger","Travel Boots","82"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","79"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","79"
"Taka","jungler","Stormcrown","Travel Boots","Aftershock","68"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","57"
"Taka","jungler","Stormcrown","Halcyon Chargers","Aftershock","50"
"Taka","jungler","Stormcrown","Aftershock","Travel Boots","49"
"Rona","jungler","Travel Boots","Serpent Mask","Breaking Point","44"
"Idris","carry","Sorrowblade","Tornado Trigger","Travel Boots","44"
"SAW","carry","Sorrowblade","Serpent Mask","Travel Boots","42"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","Alternating Current","42"
"Alpha","jungler","Stormcrown","Aftershock","Travel Boots","41"
"Idris","jungler","Sorrowblade","Travel Boots","Tornado Trigger","40"
"Kestrel","jungler","Shatterglass","Shatterglass","Halcyon Chargers","37"
"Catherine","captain","Fountain of Renewal","Stormcrown","Travel Boots","36"
"Adagio","captain","War Treads","Fountain of Renewal","Crucible","36"
"SAW","carry","Travel Boots","Sorrowblade","Serpent Mask","36"
"Kestrel","jungler","Shatterglass","Shatterglass","Clockwork","36"
"Ringo","carry","Sorrowblade","Tornado Trigger","Halcyon Chargers","35"
"Rona","jungler","Serpent Mask","Breaking Point","Travel Boots","35"
"Kestrel","jungler","Shatterglass","Shatterglass","Travel Boots","35"
"Lance","captain","War Treads","Fountain of Renewal","Crucible","32"
"SAW","carry","Sorrowblade","Serpent Mask","Sprint Boots","31"
"Ardan","captain","Fountain of Renewal","War Treads","Crucible","31"
"Alpha","jungler","Stormcrown","Travel Boots","Aftershock","31"
"Gwen","carry","Sorrowblade","Breaking Point","Travel Boots","31"
"SAW","carry","Serpent Mask","Sorrowblade","Travel Boots","30"
"Ardan","captain","Fountain of Renewal","Crucible","Travel Boots","30"
"Lance","captain","Fountain of Renewal","Atlas Pauldron","War Treads","30"
"Ringo","carry","Sorrowblade","Tornado Trigger","Tyrant's Monocle","29"
