"Taka","jungler","Stormcrown","Travel Boots","Aftershock","Broken Myth","36"
"Taka","jungler","Stormcrown","Halcyon Chargers","Aftershock","Broken Myth","34"
"Kestrel","jungler","Shatterglass","Shatterglass","Halcyon Chargers","Clockwork","26"
"Taka","jungler","Stormcrown","Aftershock","Travel Boots","Broken Myth","25"
"Kestrel","jungler","Shatterglass","Shatterglass","Travel Boots","Clockwork","25"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Metal Jacket","25"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Coat of Plates","23"
"Vox","carry",NULL,NULL,NULL,NULL,"22"
"Lance","captain","War Treads","Fountain of Renewal","Crucible","Atlas Pauldron","22"
"Taka","jungler","Stormcrown","Aftershock","Halcyon Chargers","Broken Myth","20"
"Taka","jungler",NULL,NULL,NULL,NULL,"20"
"Lance","captain","Fountain of Renewal","Atlas Pauldron","Crucible","War Treads","20"
"Lance","captain","Fountain of Renewal","Atlas Pauldron","War Treads","Crucible","20"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","19"
"Taka","jungler","Aftershock","Stormcrown","Travel Boots","Broken Myth","18"
"Catherine","captain","Fountain of Renewal","Stormcrown","Travel Boots","Crucible","17"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","Aegis","17"
"Catherine","captain","Travel Boots","Fountain of Renewal","Stormcrown","Crucible","16"
"Petal","jungler",NULL,NULL,NULL,NULL,"16"
"SAW","carry","Travel Boots","Sorrowblade","Serpent Mask","Aegis","16"
"Taka","jungler","Aftershock","Stormcrown","Halcyon Chargers","Broken Myth","16"
"Ardan","captain","Fountain of Renewal","Crucible","Travel Boots","Atlas Pauldron","16"
"Blackfeather","jungler","Serpent Mask","Travel Boots","Metal Jacket","Breaking Point","16"
"Joule","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","16"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Aegis","15"
"Ringo","carry",NULL,NULL,NULL,NULL,"15"
"SAW","carry",NULL,NULL,NULL,NULL,"15"
"Rona","jungler","Travel Boots","Serpent Mask","Breaking Point","Coat of Plates","15"
"Alpha","jungler","Stormcrown","Aftershock","Travel Boots","Metal Jacket","15"
"Lance","captain","Fountain of Renewal","War Treads","Crucible","Atlas Pauldron","15"
"Lance","captain","War Treads","Atlas Pauldron","Fountain of Renewal","Crucible","15"
"Lance","captain","Fountain of Renewal","Crucible","War Treads","Atlas Pauldron","15"
"Idris","carry","Sorrowblade","Tornado Trigger","Travel Boots","Metal Jacket","15"
"Joule","jungler","Sorrowblade","Tornado Trigger","Tyrant's Monocle","Travel Boots","15"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","Reflex Block","14"
"Ardan","captain","Fountain of Renewal","Crucible","War Treads","Atlas Pauldron","14"
"Kestrel","jungler","Shatterglass","Shatterglass","Clockwork","Halcyon Chargers","14"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","Alternating Current","Heavy Prism","14"
"Catherine","captain","Fountain of Renewal","Stormcrown","War Treads","Crucible","13"
"Glaive","jungler",NULL,NULL,NULL,NULL,"13"
"SAW","carry","Sorrowblade","Serpent Mask","Sprint Boots","Reflex Block","13"
"SAW","carry","Sorrowblade","Serpent Mask","Travel Boots","Aegis","13"
"Skaarf","carry","Shatterglass","Eve of Harvest","Travel Boots","Broken Myth","13"
"Idris","jungler","Sorrowblade","Travel Boots","Tornado Trigger","Metal Jacket","13"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Slumbering Husk","13"
