"Taka","jungler","Stormcrown","Halcyon Chargers","Aftershock","Broken Myth","Aegis","28"
"Vox","carry",NULL,NULL,NULL,NULL,NULL,"22"
"Taka","jungler",NULL,NULL,NULL,NULL,NULL,"20"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Metal Jacket","Tyrant's Monocle","17"
"Petal","jungler",NULL,NULL,NULL,NULL,NULL,"16"
"Taka","jungler","Stormcrown","Aftershock","Halcyon Chargers","Broken Myth","Aegis","16"
"Taka","jungler","Stormcrown","Travel Boots","Aftershock","Broken Myth","Reflex Block","16"
"Blackfeather","jungler","Serpent Mask","Travel Boots","Metal Jacket","Breaking Point","Aegis","16"
"Ringo","carry",NULL,NULL,NULL,NULL,NULL,"15"
"SAW","carry",NULL,NULL,NULL,NULL,NULL,"15"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Coat of Plates","Kinetic Shield","14"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","Aegis","Tyrant's Monocle","13"
"Glaive","jungler",NULL,NULL,NULL,NULL,NULL,"13"
"Kestrel","jungler","Shatterglass","Shatterglass","Halcyon Chargers","Clockwork","Piercing Shard","13"
"Catherine","captain",NULL,NULL,NULL,NULL,NULL,"12"
"Koshka","jungler",NULL,NULL,NULL,NULL,NULL,"12"
"Taka","jungler","Aftershock","Stormcrown","Halcyon Chargers","Broken Myth","Aegis","12"
"Alpha","jungler","Stormcrown","Aftershock","Travel Boots","Metal Jacket","Aegis","11"
"Alpha","jungler",NULL,NULL,NULL,NULL,NULL,"11"
"Flicker","captain","War Treads","Eclipse Prism","Stormcrown","Fountain of Renewal","Crucible","11"
"SAW","carry","Sorrowblade","Serpent Mask","Travel Boots","Aegis","Tyrant's Monocle","10"
"Ardan","captain",NULL,NULL,NULL,NULL,NULL,"10"
"Rona","jungler",NULL,NULL,NULL,NULL,NULL,"10"
"Ozo","jungler","Aftershock","Travel Boots","Coat of Plates","Aegis","Broken Myth","10"
"Flicker","jungler","War Treads","Aftershock","Stormcrown","Fountain of Renewal","Crucible","10"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Aegis","Tyrant's Monocle","9"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Slumbering Husk","Tyrant's Monocle","9"
"SAW","carry","Travel Boots","Sorrowblade","Serpent Mask","Aegis","Tyrant's Monocle","9"
"Taka","jungler","Stormcrown","Travel Boots","Aftershock","Broken Myth","Aegis","9"
"Taka","jungler","Stormcrown","Aftershock","Travel Boots","Broken Myth","Reflex Block","9"
"Alpha","jungler","Stormcrown","Aftershock","Halcyon Chargers","Metal Jacket","Aegis","9"
"Lance","captain",NULL,NULL,NULL,NULL,NULL,"9"
"Lance","captain","Fountain of Renewal","Atlas Pauldron","War Treads","Crucible","Flare","9"
"Gwen","carry","Sorrowblade","Breaking Point","Travel Boots","Aegis","Tyrant's Monocle","9"
"Flicker","captain","War Treads","Aftershock","Stormcrown","Fountain of Renewal","Crucible","9"
"Idris","carry","Sorrowblade","Tornado Trigger","Travel Boots","Metal Jacket","Tyrant's Monocle","9"
"Catherine","jungler","Fountain of Renewal","Stormcrown","War Treads","Crucible","Aftershock","8"
"Ringo","carry","Travel Boots","Sorrowblade","Breaking Point","Reflex Block","Tyrant's Monocle","8"
"Adagio","captain","War Treads","Fountain of Renewal","Crucible","Atlas Pauldron","Flare","8"
"SAW","carry","Sorrowblade","Serpent Mask","Sprint Boots","Reflex Block","Tyrant's Monocle","8"
"Ardan","jungler","War Treads","Fountain of Renewal","Stormcrown","Crucible","Aftershock","8"
"Blackfeather","jungler",NULL,NULL,NULL,NULL,NULL,"8"
"Phinn","captain",NULL,NULL,NULL,NULL,NULL,"8"
"Kestrel","jungler","Shatterglass","Shatterglass","Travel Boots","Clockwork","Piercing Shard","8"
"Kestrel","jungler","Shatterglass","Shatterglass","Travel Boots","Clockwork","Energy Battery","8"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","Metal Jacket","8"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","Alternating Current","Heavy Prism","Travel Boots","8"
"Joule","jungler",NULL,NULL,NULL,NULL,NULL,"8"
"Catherine","captain","Travel Boots","Fountain of Renewal","Stormcrown","Crucible","Aftershock","7"
"Ringo","carry","Travel Boots","Sorrowblade","Breaking Point","Aegis","Tyrant's Monocle","7"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","Reflex Block","Tyrant's Monocle","7"
"SAW","carry","Sorrowblade","Serpent Mask","Aegis","Travel Boots","Tyrant's Monocle","7"
"SAW","carry","Sorrowblade","Serpent Mask","Sprint Boots","Aegis","Tyrant's Monocle","7"
"Taka","jungler","Stormcrown","Aftershock","Travel Boots","Broken Myth","Aegis","7"
"Skaarf","carry","Eve of Harvest","Travel Boots","Broken Myth","Aegis","Frostburn","7"
"Fortress","jungler",NULL,NULL,NULL,NULL,NULL,"7"
"Skye","carry","Eve of Harvest","Frostburn","Travel Boots","Broken Myth","Aegis","7"
"Alpha","jungler","Stormcrown","Aftershock","Travel Boots","Coat of Plates","Aegis","7"
"Gwen","carry",NULL,NULL,NULL,NULL,NULL,"7"
"Idris","jungler","Sorrowblade","Tornado Trigger","Metal Jacket","Travel Boots","Tyrant's Monocle","7"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Slumbering Husk","Tyrant's Monocle","7"
"Flicker","captain","Fountain of Renewal","Aftershock","Stormcrown","War Treads","Crucible","7"
"Idris","jungler","Sorrowblade","Tornado Trigger","Sprint Boots","Metal Jacket","Tyrant's Monocle","7"
"Vox","carry","Breaking Point","Aegis","Tyrant's Monocle","Journey Boots","Tyrant's Monocle","6"
"Catherine","carry","War Treads","Fountain of Renewal","Stormcrown","Crucible","Shiversteel","6"
"Catherine","jungler","Sorrowblade","Lifespring","Journey Boots","Coat of Plates","Tornado Trigger","6"
"SAW","carry","Travel Boots","Serpent Mask","Sorrowblade","Aegis","Tyrant's Monocle","6"
"Glaive","jungler","Travel Boots","Sorrowblade","Tornado Trigger","Coat of Plates","Kinetic Shield","6"
"Taka","jungler","Aftershock","Stormcrown","Travel Boots","Broken Myth","Reflex Block","6"
"Skaarf","carry",NULL,NULL,NULL,NULL,NULL,"6"
"Skaarf","carry","Shatterglass","Eve of Harvest","Travel Boots","Broken Myth","Aegis","6"
"Kestrel","jungler","Shatterglass","Shatterglass","Clockwork","Halcyon Chargers","Piercing Shard","6"
"Ozo","jungler","Aegis","Aftershock","Travel Boots","Coat of Plates","Broken Myth","6"
"Ozo","jungler","Aftershock","Halcyon Chargers","Metal Jacket","Aegis","Broken Myth","6"
"Lance","captain","Fountain of Renewal","War Treads","Crucible","Atlas Pauldron","Flare","6"
"Flicker","carry","Fountain of Renewal","Aftershock","Stormcrown","War Treads","Crucible","6"
"Flicker","captain","Stormcrown","Aftershock","Fountain of Renewal","War Treads","Crucible","6"
"Flicker","captain","Aftershock","Stormcrown","War Treads","Fountain of Renewal","Crucible","6"
"Flicker","captain","Eclipse Prism","Stormcrown","War Treads","Fountain of Renewal","Crucible","6"
"Joule","jungler","Frostburn","Travel Boots","Aegis","Broken Myth","Clockwork","6"
"Joule","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","Aegis","6"
"Catherine","carry","War Treads","Fountain of Renewal","Stormcrown","Crucible","Aftershock","5"
"Catherine","captain","Fountain of Renewal","Stormcrown","War Treads","Crucible","Aftershock","5"
"Catherine","carry","Fountain of Renewal","Stormcrown","War Treads","Crucible","Aftershock","5"
"Ringo","carry","Sorrowblade","Breaking Point","Journey Boots","Aegis","Tyrant's Monocle","5"
"Adagio","carry","Fountain of Renewal","War Treads","Shatterglass","Stormcrown","Crucible","5"
"SAW","carry","Serpent Mask","Sorrowblade","Travel Boots","Aegis","Tyrant's Monocle","5"
"Krul","jungler",NULL,NULL,NULL,NULL,NULL,"5"
"Taka","jungler","Stormcrown","Halcyon Chargers","Aftershock","Aegis","Broken Myth","5"
"Taka","captain","Oakheart","Sprint Boots","Sprint Boots","Sprint Boots","Sprint Boots","5"
"Taka","jungler","Stormcrown","Travel Boots","Aftershock","Reflex Block","Broken Myth","5"
"Ardan","jungler","Fountain of Renewal","War Treads","Stormcrown","Crucible","Aftershock","5"
"Ardan","captain","Fountain of Renewal","War Treads","Stormcrown","Crucible","Aftershock","5"
"Fortress","jungler","War Treads","Fountain of Renewal","Stormcrown","Crucible","Metal Jacket","5"
"Rona","jungler","Travel Boots","Serpent Mask","Breaking Point","Coat of Plates","Light Shield","5"
"Rona","jungler","Serpent Mask","Breaking Point","Travel Boots","Coat of Plates","Light Shield","5"
"Rona","jungler","Serpent Mask","Breaking Point","Sorrowblade","Travel Boots","Aegis","5"
"Ardan","captain","Fountain of Renewal","Atlas Pauldron","Crucible","War Treads","Flare","5"
"Ardan","captain","Fountain of Renewal","War Treads","Atlas Pauldron","Crucible","Flare","5"
"Fortress","captain","War Treads","Fountain of Renewal","Stormcrown","Crucible","Coat of Plates","5"
"Skye","carry","Frostburn","Travel Boots","Eve of Harvest","Broken Myth","Aegis","5"
"Blackfeather","jungler","Serpent Mask","Metal Jacket","Travel Boots","Breaking Point","Aegis","5"
"Blackfeather","jungler","Serpent Mask","Breaking Point","Travel Boots","Metal Jacket","Aegis","5"
"Blackfeather","jungler","Travel Boots","Serpent Mask","Metal Jacket","Breaking Point","Aegis","5"
"Kestrel","jungler","Shatterglass","Shatterglass","Clockwork","Sprint Boots","Energy Battery","5"
