"Vox","carry",NULL,NULL,NULL,NULL,NULL,NULL,"22"
"Taka","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"20"
"Petal","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"16"
"Ringo","carry",NULL,NULL,NULL,NULL,NULL,NULL,"15"
"SAW","carry",NULL,NULL,NULL,NULL,NULL,NULL,"15"
"Glaive","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"13"
"Catherine","captain",NULL,NULL,NULL,NULL,NULL,NULL,"12"
"Koshka","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"12"
"Alpha","jungler","Stormcrown","Aftershock","Travel Boots","Metal Jacket","Aegis","Broken Myth","11"
"Alpha","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"11"
"Taka","jungler","Stormcrown","Travel Boots","Aftershock","Broken Myth","Reflex Block","Void Battery","10"
"Ardan","captain",NULL,NULL,NULL,NULL,NULL,NULL,"10"
"Rona","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"10"
"Taka","jungler","Stormcrown","Halcyon Chargers","Aftershock","Broken Myth","Aegis","Metal Jacket","9"
"Lance","captain",NULL,NULL,NULL,NULL,NULL,NULL,"9"
"Blackfeather","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"8"
"Phinn","captain",NULL,NULL,NULL,NULL,NULL,NULL,"8"
"Flicker","captain","War Treads","Eclipse Prism","Stormcrown","Fountain of Renewal","Crucible","Chronograph","8"
"Joule","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"8"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Slumbering Husk","Tyrant's Monocle","Tyrant's Monocle","7"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Coat of Plates","Kinetic Shield","Tyrant's Monocle","7"
"Fortress","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"7"
"Blackfeather","jungler","Serpent Mask","Travel Boots","Metal Jacket","Breaking Point","Aegis","Six Sins","7"
"Alpha","jungler","Stormcrown","Aftershock","Halcyon Chargers","Metal Jacket","Aegis","Broken Myth","7"
"Alpha","jungler","Stormcrown","Aftershock","Travel Boots","Coat of Plates","Aegis","Broken Myth","7"
"Gwen","carry",NULL,NULL,NULL,NULL,NULL,NULL,"7"
"Taka","jungler","Stormcrown","Travel Boots","Aftershock","Broken Myth","Aegis","Void Battery","6"
"Taka","jungler","Stormcrown","Aftershock","Halcyon Chargers","Broken Myth","Aegis","Metal Jacket","6"
"Taka","jungler","Stormcrown","Aftershock","Travel Boots","Broken Myth","Reflex Block","Void Battery","6"
"Skaarf","carry",NULL,NULL,NULL,NULL,NULL,NULL,"6"
"Adagio","captain","War Treads","Fountain of Renewal","Crucible","Atlas Pauldron","Flare","Flare","5"
"SAW","carry","Travel Boots","Sorrowblade","Serpent Mask","Aegis","Tyrant's Monocle","Coat of Plates","5"
"Krul","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"5"
"Taka","jungler","Stormcrown","Halcyon Chargers","Aftershock","Broken Myth","Aegis","Coat of Plates","5"
"Taka","jungler","Stormcrown","Halcyon Chargers","Aftershock","Broken Myth","Aegis","Aegis","5"
"Taka","captain","Oakheart","Sprint Boots","Sprint Boots","Sprint Boots","Sprint Boots","Sprint Boots","5"
